country,Number Code,province,Number Code,winery,Number Code,variety,Number Code
Italy,1,Sicily & Sardinia,1,other,1,White Blend,1
Portugal,2,Douro,2,Rainstorm,2,Portuguese Red,2
US,3,Oregon,3,Sweet Cheeks,3,Pinot Gris,3
France,4,Michigan,4,Trimbach,4,Riesling,4
Germany,5,Alsace,5,Heinz Eifel,5,Pinot Noir,5
Argentina,6,Rheinhessen,6,Jean-Baptiste Adam,6,Gewürztraminer,6
Chile,7,California,7,Kirkland Signature,7,Cabernet Sauvignon,7
Australia,8,Mosel,8,Leon Beyer,8,Chardonnay,8
Austria,9,Other,9,Louis M. Martini,9,Malbec,9
South Africa,10,Mendoza Province,10,Mirassou,10,Red Blend,10
New Zealand,11,Virginia,11,Acrobat,11,Merlot,11
Israel,12,Beaujolais,12,Bianchi,12,Gamay,12
Spain,13,Maule Valley,13,Castello di Amorosa,13,Sauvignon Blanc,13
Romania,14,Bordeaux,14,Duca di Salaparuta,14,Bordeaux-style White Blend,14
Greece,15,Maipo Valley,15,Erath,15,Sangiovese,15
Mexico,16,Washington,16,Feudi del Pisciotto,16,Cabernet Franc,16
Hungary,17,Central Italy,17,Hawkins Cellars,17,Champagne Blend,17
Slovenia,18,Champagne,18,Henry Fessy,18,Bordeaux-style Red Blend,18
Luxembourg,19,Burgundy,19,Robert Hall,19,Rosé,19
England,20,South Australia,20,Sundance,20,Zinfandel,20
Uruguay,21,Burgenland,21,Tarara,21,Grüner Veltliner,21
Lebanon,22,New York,22,Trump,22,Syrah,22
Canada,23,Tuscany,23,Vignerons de Bel Air,23,Nebbiolo,23
Brazil,24,Leyda Valley,24,Corvo,24,Rhône-style Red Blend,24
Morocco,25,Piedmont,25,Souverain,25,Portuguese White,25
Czech Republic,26,Stellenbosch,26,Tres Palacios,26,Sparkling Blend,26
Bulgaria,27,other,27,Simonnet-Febvre,27,Pinot Grigio,27
Cyprus,28,Alentejano,28,Vignerons des Terres Secrètes,28,Tempranillo,28
Turkey,29,Southwest France,29,Basel Cellars,29,,
Moldova,30,Aconcagua Valley,30,Collet,30,,
Croatia,31,Marlborough,31,Schmitt Söhne,31,,
Peru,32,Colchagua Valley,32,Yalumba,32,,
Georgia,33,Casablanca Valley,33,Napa Cellars,33,,
Ukraine,34,Southern Italy,34,Passaggio,34,,
Switzerland,35,Veneto,35,Ferrari-Carano,35,,
Slovakia,36,Northeastern Italy,36,Folie à Deux,36,,
Serbia,37,Judean Hills,37,Heron Hill,37,,
India,38,Alentejo,38,Soquel Vineyards,38,,
Macedonia,39,Coastal Region,39,Ventosa,39,,
Armenia,40,Rhône Valley,40,Lamoreaux Landing,40,,
,,Western Cape,41,Leyda,41,,
,,Galilee,42,Marchesi Antinori,42,,
,,Northern Spain,43,Marchesi de' Frescobaldi,43,,
,,Kremstal,44,Martin Ranch,44,,
,,Hawke's Bay,45,Pardon et Fils,45,,
,,Curicó Valley,46,Piña,46,,
,,Limarí Valley,47,Rideau,47,,
,,Languedoc-Roussillon,48,Dopff & Irion,48,,
,,Provence,49,Ceretto,49,,
,,Catalonia,50,Matrix,50,,
,,Rapel Valley,51,Mauritson,51,,
,,Rheingau,52,Silverado,52,,
,,Valle de Guadalupe,53,Pierre Sparr,53,,
,,Central Valley,54,Poderi Luigi Einaudi,54,,
,,Weinviertel,55,Kuentz-Bas,55,,
,,Wagram,56,Domaine Zind-Humbrecht,56,,
,,Lombardy,57,Terra Valentine,57,,
,,Kamptal,58,Testarossa,58,,
,,Südsteiermark,59,Weingut Liebfrauenstift,59,,
,,Niederösterreich,60,Wrath,60,,
,,Vinho Verde,61,Herdade Grande,61,,
,,Idaho,62,Big Basin,62,,
,,Tejo,63,Castello di Gabbiano,63,,
,,Western Australia,64,Castello Romitorio,64,,
,,Martinborough,65,Chronic Cellars,65,,
,,Central Otago,66,Claiborne & Churchill,66,,
,,Lisboa,67,Collin-Bourisset,67,,
,,France Other,68,Cono Sur,68,,
,,Península de Setúbal,69,Duckhorn,69,,
,,Australia Other,70,Dutton-Goldfield,70,,
,,Victoria,71,Fritz Haag,71,,
,,Central Spain,72,Le Cadeau,72,,
,,Nahe,73,Kenwood,73,,
,,Loire Valley,74,La Chablisienne,74,,
,,Pfalz,75,Manzoni,75,,
,,Robertson,76,McIntyre Vineyards,76,,
,,Wachau,77,Anaba,77,,
,,Dão,78,Viña Bisquertt,78,,
,,Cachapoal Valley,79,Emiliana,79,,
,,Levante,80,Sequum,80,,
,,America,81,Sierra Starr,81,,
,,Österreichischer Sekt,82,Yatir,82,,
,,San Antonio,83,Adega Cooperativa de Borba,83,,
,,Carnuntum,84,J. Lohr,84,,
,,England,85,Courtney Benham,85,,
,,Bairrada,86,Famille Perrin,86,,
,,Mosel-Saar-Ruwer,87,MCV,87,,
,,Colorado,88,Mounts,88,,
,,British Columbia,89,Mendel,89,,
,,Ontario,90,Wagner,90,,
,,Thracian Valley,91,Treleaven,91,,
,,Italy Other,92,Benessere,92,,
,,,,Bloomer Creek,93,,
,,,,Silvan Ridge,94,,
,,,,Hermann J. Wiemer,95,,
,,,,J. & F. Lurton,96,,
,,,,Finca Las Moras,97,,
,,,,Amity,98,,
,,,,Blue Rock,99,,
,,,,Graham Beck,100,,
,,,,Hartenberg,101,,
,,,,Willamette Valley Vineyards,102,,
,,,,Byron,103,,
,,,,Jardin,104,,
,,,,Kaiken,105,,
,,,,Lungarotti,106,,
,,,,O. Fournier,107,,
,,,,Sottano,108,,
,,,,St. Francis,109,,
,,,,Forstreiter,110,,
,,,,Cambria,111,,
,,,,I Giusti e Zanza,112,,
,,,,J. Christopher,113,,
,,,,Viña Cobos,114,,
,,,,Salomon-Undhof,115,,
,,,,Talley,116,,
,,,,Finca Sophenia,117,,
,,,,Ventisquero,118,,
,,,,Arboleda,119,,
,,,,Cantina del Nebbiolo,120,,
,,,,Claudia Springs,121,,
,,,,Cramele Recas,122,,
,,,,Mount Veeder,123,,
,,,,Robert Mondavi,124,,
,,,,Aresti,125,,
,,,,De Martino,126,,
,,,,Beringer,127,,
,,,,Brutocao,128,,
,,,,Clos La Chance,129,,
,,,,Jacquart,130,,
,,,,Koyle,131,,
,,,,Pezzi King,132,,
,,,,Robert Weil,133,,
,,,,Cavallotto,134,,
,,,,Rochioli,135,,
,,,,Louis Latour,136,,
,,,,Bel Colle,137,,
,,,,Winderlea,138,,
,,,,Sebastiani,139,,
,,,,Elena Walch,140,,
,,,,Valiano,141,,
,,,,Zenato,142,,
,,,,L.A. Cetto,143,,
,,,,La Vis,144,,
,,,,Lapostolle,145,,
,,,,Carmen,146,,
,,,,Tommasi,147,,
,,,,Merriam,148,,
,,,,Murphy-Goode,149,,
,,,,Kynsi,150,,
,,,,Cantina Terlano,151,,
,,,,Valdivieso,152,,
,,,,Bridlewood,153,,
,,,,San Pedro,154,,
,,,,Undurraga,155,,
,,,,Cline,156,,
,,,,McGregor,157,,
,,,,Red Newt Cellars,158,,
,,,,Château de Marsan,159,,
,,,,Guardian,160,,
,,,,Las Positas,161,,
,,,,Lieb,162,,
,,,,Macari,163,,
,,,,Malat,164,,
,,,,Milbrandt,165,,
,,,,Ojai,166,,
,,,,ONX,167,,
,,,,Pomum,168,,
,,,,Revello Fratelli,169,,
,,,,Trione,170,,
,,,,Walla Walla Vintners,171,,
,,,,Wölffer,172,,
,,,,Roederer Estate,173,,
